,Year,Draw,Country,Artist,Song,Language,Place,Points
6,1993,07,Belgium,Barbara,Iemand als jij,Dutch,25,3
7,1993,08,Malta,William Mangion,This Time,English,8,69
8,1993,09,Iceland,Inga ,Þá veistu svarið,Icelandic,13,42
9,1993,10,Austria,Tony Wegas,Maria Magdalena,German,14,32
10,1993,11,Portugal,Anabela,A cidade (até ser dia),Portuguese,10,60
11,1993,12,France,Patrick Fiori,Mama Corsica,"French, Corsican",4,121
12,1993,13,Sweden,Arvingarna,Eloise,Swedish,7,89
13,1993,14,Ireland,Niamh Kavanagh,In Your Eyes,English,1,187
14,1993,15,Luxembourg,Modern Times,Donne-moi une chance,"French, Luxembourgish",20,11
15,1993,16,Slovenia,1X Band,Tih deževen dan,Slovene,22,9
16,1993,17,Finland,Katri Helena,Tule luo,Finnish,17,20
17,1993,18,Bosnia and Herzegovina,Fazla,Sva bol svijeta,Bosnian,16,27
18,1993,19,United Kingdom,Sonia,Better the Devil You Know,English,2,164
19,1993,20,Netherlands,Ruth Jacott,Vrede,Dutch,6,92
20,1993,21,Croatia,Put,Don't Ever Cry,"Croatian, English",15,31
21,1993,22,Spain,Eva Santamaría,Hombres,Spanish,11,58
22,1993,23,Cyprus,Zymboulakis and Van Beke,Mi stamatas (Μη σταματάς),Greek,19,17
23,1993,24,Israel,Lehakat Shiru,Shiru (שירו),"Hebrew, English",24,4
24,1993,25,Norway,Silje Vige,Alle mine tankar,Norwegian,5,120
0,1994,01,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,13,48
1,1994,02,Finland,CatCat,Bye Bye Baby,Finnish,22,11
2,1994,03,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,English,1,226
3,1994,04,Cyprus,Evridiki,Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Greek,11,51
4,1994,05,Iceland,Sigga,Nætur,Icelandic,12,49
5,1994,06,United Kingdom,Frances Ruffelle,We Will Be Free (Lonely Symphony),English,10,63
6,1994,07,Croatia,Tony Cetinski,Nek' ti bude ljubav sva,Croatian,16,27
